Size;TD_AddFront;L1_AddFront;L2_AddFront;TD_AddBack;L1_AddBack;L2_AddBack;TD_RmFront;L1_RmFront;L2_RmFront;TD_RmBack;L1_RmBack;L2_RmBack;TD_AddAt;L1_AddAt;L2_AddAt;TD_RmAt;L1_RmAt;L2_RmAt;TD_Find;L1_Find;L2_Find
1000;68;32;40;2;3940;34;232;54;66;0;3200;70;46;1780;1684;122;1624;1814;230;3600;3528
2000;126;40;48;2;12056;42;456;270;156;2;6664;342;70;3816;4168;234;4638;4214;426;7750;9118
5000;394;82;78;4;24882;74;1234;208;236;2;20428;204;198;10222;12398;598;10188;11180;866;14642;17692
10000;2426;80;82;12;48362;76;2752;290;288;4;42670;260;1600;21784;23564;1550;28170;32504;1752;31468;33004
20000;4528;96;80;10;89200;128;6034;472;426;6;94162;296;2170;45752;48930;3044;46190;48160;2632;54174;46580
50000;13082;110;94;10;226194;114;23424;304;310;6;229304;278;7242;123498;120162;7782;118890;119282;3796;49446;52966
100000;32740;112;98;8;458292;114;44670;284;228;4;566284;258;12758;237008;244236;28688;231340;241308;2564;47700;41982
200000;74612;102;158;24;901282;124;76936;260;292;4;1288354;458;34094;598404;496996;41558;465688;480154;4208;66168;48388
500000;183544;112;128;40;2291902;120;196674;326;328;6;2253714;352;93054;1180466;1193284;112930;1166996;1194188;3964;51578;55756
1000000;366218;118;132;34;4520448;180;390308;340;344;4;4541336;328;187606;2294134;2416648;196376;2308082;2380068;3982;52744;50450
